"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"J9HZV2","J9HZV2_AEDAE","AAEL017168-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"Q175T7","AAEL006555","AAEL006555-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"Q17E15","AAEL003979","Deadenylation factor EDEN-BP, putative.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"Q17FE8","AAEL003407","AAEL003407-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19626","RNA binding protein fox-1 homolog 1-like, and Regulation of striated muscle cell differentiation",5,5,1.97,1.21,4.38e-05,"Q17FE9","AAEL003414","AAEL003414-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"J9HTV7","AAEL801114","AAEL017419-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"J9HZV2","J9HZV2_AEDAE","AAEL017168-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"Q16HG5","AAEL014033","AAEL014033-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"Q175T7","AAEL006555","AAEL006555-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"Q17E15","AAEL003979","Deadenylation factor EDEN-BP, putative.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"Q17FE8","AAEL003407","AAEL003407-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","CL:19618","Mixed, incl. Scramblase, and Regulation of alternative mRNA splicing, via spliceosome",7,30,1.34,1.07,7.38e-05,"Q17FE9","AAEL003414","AAEL003414-PA.","Local Network Cluster String",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","IPR016064","NAD kinase/diacylglycerol kinase-like domain superfamily",5,12,1.59,0.7,0.0028,"Q16HZ7","AAEL013847","Diacylglycerol kinase, zeta, iota.","InterPro",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","IPR016064","NAD kinase/diacylglycerol kinase-like domain superfamily",5,12,1.59,0.7,0.0028,"Q16HZ8","AAEL013849","Diacylglycerol kinase, zeta, iota.","InterPro",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","IPR016064","NAD kinase/diacylglycerol kinase-like domain superfamily",5,12,1.59,0.7,0.0028,"Q16PA7","AAEL011709","Diacylglycerol kinase.","InterPro",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","IPR016064","NAD kinase/diacylglycerol kinase-like domain superfamily",5,12,1.59,0.7,0.0028,"Q17CH0","AAEL004542","AAEL004542-PA.","InterPro",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","IPR016064","NAD kinase/diacylglycerol kinase-like domain superfamily",5,12,1.59,0.7,0.0028,"Q1DGJ8","AAEL015603","Ceramide kinase.","InterPro",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
